SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,TIMESTAMP,GAINS
VAISHALI,Vaishali Pharma Limited,EQ,2020-01-15,INE972X01014,2022-12-09,0.1842742
YESBANK,Yes Bank Limited,EQ,2005-07-12,INE528G01035,2022-12-09,0.1129943
OPTIEMUS,Optiemus Infracom Limited,EQ,2017-08-08,INE350C01017,2022-12-09,0.1108054
SAGARDEEP,Sagardeep Alloys Limited,EQ,2019-01-25,INE976T01013,2022-12-09,0.1056338
CUBEXTUB,Cubex Tubings Limited,EQ,1996-04-24,INE144D01012,2022-12-09,0.102564
ARENTERP,Rajdarshan Industries Limited,EQ,1995-10-18,INE610C01014,2022-12-09,0.0986487
LSIL,Lloyds Steels Industries Limited,EQ,2016-07-18,INE093R01011,2022-12-09,0.0943396
EXCEL,Excel Realty N Infra Limited,EQ,2009-08-03,INE688J01023,2022-12-09,0.0909091
SONAMCLOCK,Sonam Clock Limited,EQ,2022-04-07,INE00LM01011,2022-12-09,0.0862697
JYOTISTRUC,Jyoti Structures Limited,BZ,1995-07-19,INE197A01024,2022-12-09,0.0851064
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,1996-05-29,INE967C01018,2022-12-09,0.0815451
KOTHARIPRO,Kothari Products Limited,EQ,1998-06-03,INE823A01017,2022-12-09,0.0788431
TRU,TruCap Finance Limited,EQ,2022-05-10,INE615R01029,2022-12-09,0.0703297
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,1995-05-10,INE854B01010,2022-12-09,0.0684411
CROWN,Crown Lifters Limited,EQ,2022-02-08,INE491V01019,2022-12-09,0.0662857
HEADSUP,Heads UP Ventures Limited,EQ,2016-12-14,INE759V01019,2022-12-09,0.0622567
JMCPROJECT,JMC Projects (India)  Limited,EQ,2007-11-26,INE890A01024,2022-12-09,0.0587768
GRMOVER,GRM Overseas Limited,EQ,2022-09-07,INE192H01020,2022-12-09,0.0553867
DEVIT,Dev Information Technology Limited,EQ,2022-02-15,INE060X01026,2022-12-09,0.0553719
ACEINTEG,Ace Integrated Solutions Limited,EQ,2022-11-04,INE543V01017,2022-12-09,0.0539034
SANGINITA,Sanginita Chemicals Limited,EQ,2019-07-15,INE753W01010,2022-12-09,0.0503433
TRACXN,Tracxn Technologies Limited,EQ,2022-10-20,INE0HMF01019,2022-12-09,0.0502693
MTNL,Mahanagar Telephone Nigam Limited,EQ,1999-02-17,INE153A01019,2022-12-09,0.0495867
EQUIPPP,Equippp Social Impact Technologies Limited,BE,2021-05-19,INE217G01035,2022-12-09,0.0495169
NORBTEAEXP,Norben Tea & Exports Limited,EQ,1996-06-26,INE369C01017,2022-12-09,0.0466667
SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,TIMESTAMP,GAINS
SIMPLEXINF,Simplex Infrastructures Limited,EQ,2004-03-09,INE059B01024,2022-12-08,0.1441296
TRU,TruCap Finance Limited,EQ,2022-05-10,INE615R01029,2022-12-08,0.1412952
DIGISPICE,DiGiSPICE Technologies Limited,EQ,2008-05-27,INE927C01020,2022-12-08,0.1400394
SKIPPER,Skipper Limited,EQ,2015-05-27,INE439E01022,2022-12-08,0.139757
AURIONPRO,Aurionpro Solutions Limited,EQ,2005-10-25,INE132H01018,2022-12-08,0.1385174
CROWN,Crown Lifters Limited,EQ,2022-02-08,INE491V01019,2022-12-08,0.1319534
VENKEYS,Venky's (India) Limited,EQ,2003-07-28,INE398A01010,2022-12-08,0.1204384
OPTIEMUS,Optiemus Infracom Limited,EQ,2017-08-08,INE350C01017,2022-12-08,0.1189655
CENTRALBK,Central Bank of India,EQ,2007-08-21,INE483A01010,2022-12-08,0.1070175
KEC,KEC International Limited,EQ,2006-03-10,INE389H01022,2022-12-08,0.1009869
PSB,Punjab & Sind Bank,EQ,2010-12-30,INE608A01012,2022-12-08,0.0970537
AAATECH,AAA Technologies Limited,EQ,2022-11-28,INE0D0U01013,2022-12-08,0.0936508
UNIINFO,Uniinfo Telecom Services Limited,EQ,2022-01-12,INE481Z01011,2022-12-08,0.0897436
CHEMPLASTS,Chemplast Sanmar Limited,EQ,2021-08-24,INE488A01050,2022-12-08,0.0880877
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,1997-07-02,INE915B01019,2022-12-08,0.0821402
KARURVYSYA,Karur Vysya Bank Limited,EQ,2000-07-26,INE036D01028,2022-12-08,0.0819512
ENERGYDEV,Energy Development Company Limited,EQ,2007-11-02,INE306C01019,2022-12-08,0.0815851
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,1998-07-22,INE168A01041,2022-12-08,0.0796848
PRICOLLTD,Pricol Limited,EQ,2017-02-10,INE726V01018,2022-12-08,0.0774799
PTL,PTL Enterprises Limited,EQ,2007-01-29,INE034D01049,2022-12-08,0.0770441
SEPC,SEPC Limited,EQ,2008-02-20,INE964H01014,2022-12-08,0.076555
SUMIT,Sumit Woods Limited,BE,2019-07-30,INE748Z01013,2022-12-08,0.0753846
NAVKARCORP,Navkar Corporation Limited,EQ,2015-09-09,INE278M01019,2022-12-08,0.0753371
MCL,Madhav Copper Limited,EQ,2020-08-19,INE813V01022,2022-12-08,0.0722434
BANKINDIA,Bank of India,EQ,1997-04-30,INE084A01016,2022-12-08,0.0705128
SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,TIMESTAMP,GAINS
BLBLIMITED,BLB Limited,EQ,2000-05-31,INE791A01024,2022-12-07,0.2139175
HECPROJECT,HEC Infra Projects Limited,EQ,2021-12-30,INE558R01013,2022-12-07,0.199362
LPDC,Landmark Property Development Company Limited,EQ,2008-08-12,INE197J01017,2022-12-07,0.1885246
